Model        : llama3.2:3b
Processing   : 2350 candidate(s) starting at offset 0
Checkpoint   : every 50 verse(s) -> promesas.db
  [50] checkpoint saved (17 promise(s) so far)
  [100] checkpoint saved (29 promise(s) so far)
  [150] checkpoint saved (41 promise(s) so far)
  [200] checkpoint saved (46 promise(s) so far)
  [250] checkpoint saved (52 promise(s) so far)
  [300] checkpoint saved (56 promise(s) so far)
  [350] checkpoint saved (58 promise(s) so far)
  [400] checkpoint saved (75 promise(s) so far)
  [450] checkpoint saved (83 promise(s) so far)
  [500] checkpoint saved (89 promise(s) so far)
  [550] checkpoint saved (100 promise(s) so far)
  [600] checkpoint saved (107 promise(s) so far)
  [650] checkpoint saved (109 promise(s) so far)
  [700] checkpoint saved (124 promise(s) so far)
  [750] checkpoint saved (128 promise(s) so far)
  [800] checkpoint saved (143 promise(s) so far)
  [850] checkpoint saved (160 promise(s) so far)
  [900] checkpoint saved (178 promise(s) so far)
  [950] checkpoint saved (187 promise(s) so far)
  [1000] checkpoint saved (213 promise(s) so far)
  [1050] checkpoint saved (218 promise(s) so far)
  [1100] checkpoint saved (225 promise(s) so far)
  [1150] checkpoint saved (237 promise(s) so far)
  [1200] checkpoint saved (255 promise(s) so far)
  [1250] checkpoint saved (270 promise(s) so far)
  [1300] checkpoint saved (276 promise(s) so far)
  [1350] checkpoint saved (283 promise(s) so far)
  [1400] checkpoint saved (305 promise(s) so far)
  [1450] checkpoint saved (314 promise(s) so far)
  [1500] checkpoint saved (315 promise(s) so far)
  [1550] checkpoint saved (318 promise(s) so far)
  [1600] checkpoint saved (322 promise(s) so far)
  [1650] checkpoint saved (323 promise(s) so far)
  [1700] checkpoint saved (326 promise(s) so far)
  [1750] checkpoint saved (340 promise(s) so far)
  [1800] checkpoint saved (354 promise(s) so far)
  [1850] checkpoint saved (357 promise(s) so far)
  [1900] checkpoint saved (365 promise(s) so far)
  [1950] checkpoint saved (370 promise(s) so far)
  [2000] checkpoint saved (376 promise(s) so far)
  [2050] checkpoint saved (386 promise(s) so far)
  [2100] checkpoint saved (395 promise(s) so far)
  [2150] checkpoint saved (401 promise(s) so far)
  [2200] checkpoint saved (413 promise(s) so far)
  [2250] checkpoint saved (428 promise(s) so far)
  [2300] checkpoint saved (438 promise(s) so far)
  [2350] checkpoint saved (458 promise(s) so far)
Done. 458 promise(s) written to promesas.db
